CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0120,0.8959673038921327
C0001,C0091,0.8574046798036807
C0001,C0069,0.8477648904147861
C0002,C0134,0.9443123002467042
C0002,C0159,0.9260060990607957
C0002,C0106,0.8890384486082946
C0003,C0031,0.9338327754526137
C0003,C0026,0.7689067651682351
C0003,C0195,0.7544352592829741
C0004,C0075,0.8639757539491678
C0004,C0090,0.8205456862535236
C0004,C0113,0.8019713721495
C0005,C0007,0.9803619656957699
C0005,C0197,0.9518415994043349
C0005,C0199,0.8597027261315069
C0006,C0185,0.8378191113008341
C0006,C0081,0.7328127371566254
C0006,C0142,0.6894964614819873
C0007,C0005,0.9803619656957699
C0007,C0197,0.9261226690579636
C0007,C0199,0.8679917149474035
C0008,C0059,0.7574354348323862
C0008,C0195,0.6922854270156641
C0008,C0039,0.6645696711147072
C0009,C0058,0.8453400320192986
C0009,C0077,0.8261071597940904
C0009,C0033,0.7990616744253092
C0010,C0042,0.9222727243235734
C0010,C0176,0.8988729751697782
C0010,C0061,0.8730318537620534
C0011,C0153,0.8782848662078759
C0011,C0027,0.7916001468682026
C0011,C0193,0.7566270488907972
C0012,C0059,0.8650117257280145
C0012,C0136,0.8435046086635645
C0012,C0172,0.8426104631267153
C0013,C0016,0.8363787122916372
C0013,C0093,0.7888028080301077
C0013,C0107,0.7830073644531005
C0014,C0151,0.9893852336175605
C0014,C0097,0.9757404095123564
C0014,C0110,0.957630445491961
C0015,C0123,0.9374956566606631
C0015,C0080,0.9095674656590289
C0015,C0097,0.8991486436695724
C0016,C0013,0.8363787122916372
C0016,C0056,0.7416477626285092
C0016,C0049,0.7194307832591423
C0017,C0090,0.8089679141640034
C0017,C0075,0.807027675253741
C0017,C0064,0.7267065774247331
C0018,C0050,0.7990971911359401
C0018,C0087,0.7935033598489832
C0018,C0115,0.7763555702427819
C0019,C0070,0.8443814724989315
C0019,C0191,0.8204005410289616
C0019,C0193,0.7686672893138713
C0020,C0130,0.8773672074247703
C0020,C0032,0.8581109369588096
C0020,C0033,0.8424866654100093
